Type,Scenario,Adjudicator,Adjudicator_Type,ReadingLevel,A1 Score,A2 Score,Extracted Value Score
Simulated,27,KA,Expert,College Level,4,1,NA
Simulated,28,KA,Expert,5th Grade,4,5,NA
Simulated,28,KA,Expert,8th/9th Grade,2,1,NA
Simulated,28,KA,Expert,College Level,2,1,NA
Simulated,29,KA,Expert,5th Grade,5,5,NA
Simulated,29,KA,Expert,8th/9th Grade,5,5,NA
Simulated,29,KA,Expert,College Level,5,5,NA
Simulated,30,KA,Expert,5th Grade,5,1,NA
Simulated,30,KA,Expert,8th/9th Grade,5,1,NA
Simulated,30,KA,Expert,College Level,5,1,NA
Simulated,31,KA,Expert,5th Grade,5,5,NA
Simulated,31,KA,Expert,8th/9th Grade,5,5,NA
Simulated,31,KA,Expert,College Level,5,5,NA
Simulated,32,KA,Expert,5th Grade,5,5,NA
Simulated,32,KA,Expert,8th/9th Grade,5,5,NA
Simulated,32,KA,Expert,College Level,5,5,NA
Simulated,33,KA,Expert,5th Grade,5,5,NA
Simulated,33,KA,Expert,8th/9th Grade,5,5,NA
Simulated,33,KA,Expert,College Level,5,5,NA
Simulated,34,KA,Expert,5th Grade,5,5,NA
Simulated,34,KA,Expert,8th/9th Grade,5,5,NA
Simulated,34,KA,Expert,College Level,5,5,NA
Simulated,35,KA,Expert,5th Grade,5,1,NA
Simulated,35,KA,Expert,8th/9th Grade,5,1,NA
Simulated,35,KA,Expert,College Level,5,1,NA
Simulated,1,NB,Expert,5th Grade,4,4,NA
Simulated,1,NB,Expert,8th/9th Grade,4,4,NA
Simulated,1,NB,Expert,College Level,4,4,NA
Simulated,2,NB,Expert,5th Grade,2,2,NA
Simulated,2,NB,Expert,8th/9th Grade,2,2,NA
Simulated,2,NB,Expert,College Level,2,2,NA
Simulated,3,NB,Expert,5th Grade,4,3,NA
Simulated,3,NB,Expert,8th/9th Grade,4,3,NA
Simulated,3,NB,Expert,College Level,4,3,NA
Simulated,4,NB,Expert,5th Grade,3,3,NA
Simulated,4,NB,Expert,8th/9th Grade,3,3,NA
Simulated,4,NB,Expert,College Level,3,3,NA
Simulated,5,NB,Expert,5th Grade,4,3,NA
Simulated,5,NB,Expert,8th/9th Grade,3,3,NA
Simulated,5,NB,Expert,College Level,4,3,NA
Simulated,6,NB,Expert,5th Grade,4,3,NA
Simulated,6,NB,Expert,8th/9th Grade,4,3,NA
Simulated,6,NB,Expert,College Level,4,3,NA
Simulated,7,NB,Expert,5th Grade,4,3,NA
Simulated,7,NB,Expert,8th/9th Grade,4,3,NA
Simulated,7,NB,Expert,College Level,4,3,NA
Simulated,8,NB,Expert,5th Grade,4,4,NA
Simulated,8,NB,Expert,8th/9th Grade,4,4,NA
Simulated,8,NB,Expert,College Level,4,4,NA
Simulated,9,NB,Expert,5th Grade,2,4,NA
Simulated,9,NB,Expert,8th/9th Grade,2,4,NA
Simulated,9,NB,Expert,College Level,2,4,NA
Simulated,10,NB,Expert,5th Grade,4,4,NA
Simulated,10,NB,Expert,8th/9th Grade,4,4,NA
Simulated,10,NB,Expert,College Level,4,4,NA
Simulated,11,NB,Expert,5th Grade,4,4,NA
Simulated,11,NB,Expert,8th/9th Grade,4,4,NA
Simulated,11,NB,Expert,College Level,4,4,NA
Simulated,12,NB,Expert,5th Grade,4,3,NA
Simulated,12,NB,Expert,8th/9th Grade,4,3,NA
Simulated,12,NB,Expert,College Level,4,3,NA
Simulated,13,NB,Expert,5th Grade,2,3,NA
Simulated,13,NB,Expert,8th/9th Grade,2,3,NA
Simulated,13,NB,Expert,College Level,2,3,NA
Simulated,14,NB,Expert,5th Grade,4,4,NA
Simulated,14,NB,Expert,8th/9th Grade,4,4,NA
Simulated,14,NB,Expert,College Level,4,4,NA
Simulated,15,NB,Expert,5th Grade,4,4,NA
Simulated,15,NB,Expert,8th/9th Grade,4,4,NA
Simulated,15,NB,Expert,College Level,4,4,NA
Simulated,16,NB,Expert,5th Grade,4,2,NA
Simulated,16,NB,Expert,8th/9th Grade,4,2,NA
Simulated,16,NB,Expert,College Level,4,2,NA
Simulated,17,NB,Expert,5th Grade,4,3,NA
Simulated,17,NB,Expert,8th/9th Grade,4,3,NA
Simulated,17,NB,Expert,College Level,4,3,NA
Simulated,18,NB,Expert,5th Grade,2,3,NA
Simulated,18,NB,Expert,8th/9th Grade,2,3,NA
Simulated,18,NB,Expert,College Level,2,3,NA
Simulated,19,NB,Expert,5th Grade,4,3,NA
Simulated,19,NB,Expert,8th/9th Grade,4,3,NA
Simulated,19,NB,Expert,College Level,4,3,NA
Simulated,20,NB,Expert,5th Grade,4,4,NA
Simulated,20,NB,Expert,8th/9th Grade,4,4,NA
Simulated,20,NB,Expert,College Level,4,4,NA
Simulated,21,NB,Expert,5th Grade,4,4,NA
Simulated,21,NB,Expert,8th/9th Grade,4,4,NA
Simulated,21,NB,Expert,College Level,4,4,NA
Simulated,22,NB,Expert,5th Grade,4,4,NA
Simulated,22,NB,Expert,8th/9th Grade,4,4,NA
Simulated,22,NB,Expert,College Level,4,4,NA
Simulated,23,NB,Expert,5th Grade,2,3,NA
Simulated,23,NB,Expert,8th/9th Grade,2,3,NA
Simulated,23,NB,Expert,College Level,2,3,NA
Simulated,24,NB,Expert,5th Grade,4,4,NA
Simulated,24,NB,Expert,8th/9th Grade,4,4,NA
Simulated,24,NB,Expert,College Level,4,4,NA
Simulated,25,NB,Expert,5th Grade,3,3,NA
Simulated,25,NB,Expert,8th/9th Grade,3,3,NA
Simulated,25,NB,Expert,College Level,3,3,NA
Simulated,26,NB,Expert,5th Grade,3,2,NA
Simulated,26,NB,Expert,8th/9th Grade,3,2,NA
Simulated,26,NB,Expert,College Level,3,2,NA
Simulated,27,NB,Expert,5th Grade,4,4,NA
Simulated,27,NB,Expert,8th/9th Grade,4,4,NA
Simulated,27,NB,Expert,College Level,4,4,NA
Simulated,28,NB,Expert,5th Grade,2,4,NA
Simulated,28,NB,Expert,8th/9th Grade,2,4,NA
Simulated,28,NB,Expert,College Level,2,4,NA
Simulated,29,NB,Expert,5th Grade,4,4,NA
Simulated,29,NB,Expert,8th/9th Grade,4,4,NA
Simulated,29,NB,Expert,College Level,4,4,NA
Simulated,30,NB,Expert,5th Grade,4,3,NA
Simulated,30,NB,Expert,8th/9th Grade,4,3,NA
Simulated,30,NB,Expert,College Level,4,3,NA
Simulated,31,NB,Expert,5th Grade,4,4,NA
Simulated,31,NB,Expert,8th/9th Grade,4,4,NA
Simulated,31,NB,Expert,College Level,4,4,NA
Simulated,32,NB,Expert,5th Grade,3,4,NA
Simulated,32,NB,Expert,8th/9th Grade,3,4,NA
Simulated,32,NB,Expert,College Level,3,4,NA
Simulated,33,NB,Expert,5th Grade,4,3,NA
Simulated,33,NB,Expert,8th/9th Grade,4,3,NA
Simulated,33,NB,Expert,College Level,4,3,NA
Simulated,34,NB,Expert,5th Grade,4,4,NA
Simulated,34,NB,Expert,8th/9th Grade,4,4,NA
Simulated,34,NB,Expert,College Level,4,4,NA
Simulated,35,NB,Expert,5th Grade,3,3,NA
Simulated,35,NB,Expert,8th/9th Grade,3,3,NA
Simulated,35,NB,Expert,College Level,3,3,NA
Simulated,1,PH,Expert,5th Grade,5,5,NA
Simulated,1,PH,Expert,8th/9th Grade,5,5,NA
Simulated,1,PH,Expert,College Level,1,1,NA
Simulated,2,PH,Expert,5th Grade,4,2,NA
Simulated,2,PH,Expert,8th/9th Grade,4,2,NA
Simulated,2,PH,Expert,College Level,5,2,NA
Simulated,3,PH,Expert,5th Grade,4,3,NA
Simulated,3,PH,Expert,8th/9th Grade,4,3,NA
Simulated,3,PH,Expert,College Level,4,3,NA
Simulated,4,PH,Expert,5th Grade,4,1,NA
Simulated,4,PH,Expert,8th/9th Grade,4,1,NA
Simulated,4,PH,Expert,College Level,5,1,NA
Simulated,5,PH,Expert,5th Grade,5,3,NA
Simulated,5,PH,Expert,8th/9th Grade,2,3,NA
Simulated,5,PH,Expert,College Level,5,3,NA
Simulated,6,PH,Expert,5th Grade,2,4,NA
Simulated,6,PH,Expert,8th/9th Grade,4,4,NA
Simulated,6,PH,Expert,College Level,4,4,NA
Simulated,7,PH,Expert,5th Grade,5,5,NA
Simulated,7,PH,Expert,8th/9th Grade,5,5,NA
Simulated,7,PH,Expert,College Level,5,5,NA
Simulated,8,PH,Expert,5th Grade,5,5,NA
Simulated,8,PH,Expert,8th/9th Grade,5,5,NA
Simulated,8,PH,Expert,College Level,5,5,NA
Simulated,9,PH,Expert,5th Grade,5,5,NA
Simulated,9,PH,Expert,8th/9th Grade,5,5,NA
Simulated,9,PH,Expert,College Level,5,5,NA
Simulated,10,PH,Expert,5th Grade,5,5,NA
Simulated,10,PH,Expert,8th/9th Grade,5,5,NA
Simulated,10,PH,Expert,College Level,5,5,NA
Simulated,11,PH,Expert,5th Grade,5,5,NA
Simulated,11,PH,Expert,8th/9th Grade,5,5,NA
Simulated,11,PH,Expert,College Level,5,5,NA
Simulated,12,PH,Expert,5th Grade,3,3,NA
Simulated,12,PH,Expert,8th/9th Grade,3,3,NA
Simulated,12,PH,Expert,College Level,4,3,NA
Simulated,13,PH,Expert,5th Grade,5,5,NA
Simulated,13,PH,Expert,8th/9th Grade,5,5,NA
Simulated,13,PH,Expert,College Level,5,5,NA
Simulated,14,PH,Expert,5th Grade,5,4,NA
Simulated,14,PH,Expert,8th/9th Grade,5,5,NA
Simulated,14,PH,Expert,College Level,5,5,NA
Simulated,15,PH,Expert,5th Grade,5,4,NA
Simulated,15,PH,Expert,8th/9th Grade,5,4,NA
Simulated,15,PH,Expert,College Level,5,4,NA
Simulated,16,PH,Expert,5th Grade,5,5,NA
Simulated,16,PH,Expert,8th/9th Grade,5,5,NA
Simulated,16,PH,Expert,College Level,5,5,NA
Simulated,17,PH,Expert,5th Grade,3,4,NA
Simulated,17,PH,Expert,8th/9th Grade,3,4,NA
Simulated,17,PH,Expert,College Level,3,4,NA
Simulated,18,PH,Expert,5th Grade,4,5,NA
Simulated,18,PH,Expert,8th/9th Grade,4,5,NA
Simulated,18,PH,Expert,College Level,4,5,NA
Simulated,19,PH,Expert,5th Grade,2,2,NA
Simulated,19,PH,Expert,8th/9th Grade,3,2,NA
Simulated,19,PH,Expert,College Level,3,2,NA
Simulated,20,PH,Expert,5th Grade,5,5,NA
Simulated,20,PH,Expert,8th/9th Grade,5,5,NA
Simulated,20,PH,Expert,College Level,5,5,NA
Simulated,21,PH,Expert,5th Grade,4,4,NA
Simulated,21,PH,Expert,8th/9th Grade,4,4,NA
Simulated,21,PH,Expert,College Level,4,4,NA
Simulated,22,PH,Expert,5th Grade,4,2,NA
Simulated,22,PH,Expert,8th/9th Grade,4,2,NA
Simulated,22,PH,Expert,College Level,4,2,NA
Simulated,23,PH,Expert,5th Grade,5,5,NA
Simulated,23,PH,Expert,8th/9th Grade,5,5,NA
Simulated,23,PH,Expert,College Level,5,1,NA
Simulated,24,PH,Expert,5th Grade,5,5,NA
Simulated,24,PH,Expert,8th/9th Grade,5,5,NA
Simulated,24,PH,Expert,College Level,5,5,NA
Simulated,25,PH,Expert,5th Grade,5,3,NA
Simulated,25,PH,Expert,8th/9th Grade,5,3,NA
Simulated,25,PH,Expert,College Level,5,5,NA
Simulated,26,PH,Expert,5th Grade,5,4,NA
Simulated,26,PH,Expert,8th/9th Grade,5,4,NA
Simulated,26,PH,Expert,College Level,5,4,NA
Simulated,27,PH,Expert,5th Grade,5,2,NA
Simulated,27,PH,Expert,8th/9th Grade,5,2,NA
Simulated,27,PH,Expert,College Level,5,3,NA
Simulated,28,PH,Expert,5th Grade,5,5,NA
Simulated,28,PH,Expert,8th/9th Grade,2,1,NA
Simulated,28,PH,Expert,College Level,2,1,NA
Simulated,29,PH,Expert,5th Grade,4,4,NA
Simulated,29,PH,Expert,8th/9th Grade,4,4,NA
Simulated,29,PH,Expert,College Level,5,4,NA
Simulated,30,PH,Expert,5th Grade,5,3,NA
Simulated,30,PH,Expert,8th/9th Grade,5,3,NA
Simulated,30,PH,Expert,College Level,5,3,NA
Simulated,31,PH,Expert,5th Grade,5,5,NA
Simulated,31,PH,Expert,8th/9th Grade,5,5,NA
Simulated,31,PH,Expert,College Level,5,5,NA
Simulated,32,PH,Expert,5th Grade,4,5,NA
Simulated,32,PH,Expert,8th/9th Grade,4,5,NA
Simulated,32,PH,Expert,College Level,5,5,NA
Simulated,33,PH,Expert,5th Grade,5,5,NA
Simulated,33,PH,Expert,8th/9th Grade,5,5,NA
Simulated,33,PH,Expert,College Level,5,5,NA
Simulated,34,PH,Expert,5th Grade,5,5,NA
Simulated,34,PH,Expert,8th/9th Grade,5,5,NA
Simulated,34,PH,Expert,College Level,5,5,NA
Simulated,35,PH,Expert,5th Grade,5,4,NA
Simulated,35,PH,Expert,8th/9th Grade,5,4,NA
Simulated,35,PH,Expert,College Level,5,4,NA
Simulated,1,AK,Student,5th Grade,5,4,NA
Simulated,1,AK,Student,8th/9th Grade,5,4,NA
Simulated,1,AK,Student,College Level,2,2,NA
Simulated,2,AK,Student,5th Grade,5,4,NA
Simulated,2,AK,Student,8th/9th Grade,5,5,NA
Simulated,2,AK,Student,College Level,5,5,NA
Simulated,3,AK,Student,5th Grade,4,4,NA
Simulated,3,AK,Student,8th/9th Grade,5,4,NA
Simulated,3,AK,Student,College Level,5,3,NA
Simulated,4,AK,Student,5th Grade,4,2,NA
Simulated,4,AK,Student,8th/9th Grade,5,2,NA
Simulated,4,AK,Student,College Level,4,2,NA
Simulated,5,AK,Student,5th Grade,4,1,NA
Simulated,5,AK,Student,8th/9th Grade,2,4,NA
Simulated,5,AK,Student,College Level,4,1,NA
Simulated,6,AK,Student,5th Grade,5,4,NA
Simulated,6,AK,Student,8th/9th Grade,4,4,NA
Simulated,6,AK,Student,College Level,5,4,NA
Simulated,7,AK,Student,5th Grade,4,4,NA
Simulated,7,AK,Student,8th/9th Grade,5,5,NA
Simulated,7,AK,Student,College Level,4,4,NA
Simulated,8,AK,Student,5th Grade,5,4,NA
Simulated,8,AK,Student,8th/9th Grade,5,4,NA
Simulated,8,AK,Student,College Level,3,4,NA
Simulated,9,AK,Student,5th Grade,5,4,NA
Simulated,9,AK,Student,8th/9th Grade,5,4,NA
Simulated,9,AK,Student,College Level,5,4,NA
Simulated,10,AK,Student,5th Grade,5,4,NA
Simulated,10,AK,Student,8th/9th Grade,5,5,NA
Simulated,10,AK,Student,College Level,5,5,NA
Simulated,11,AK,Student,5th Grade,5,2,NA
Simulated,11,AK,Student,8th/9th Grade,5,2,NA
Simulated,11,AK,Student,College Level,5,4,NA
Simulated,12,AK,Student,5th Grade,5,4,NA
Simulated,12,AK,Student,8th/9th Grade,4,4,NA
Simulated,12,AK,Student,College Level,5,4,NA
Simulated,13,AK,Student,5th Grade,5,4,NA
Simulated,13,AK,Student,8th/9th Grade,5,5,NA
Simulated,13,AK,Student,College Level,5,5,NA
Simulated,14,AK,Student,5th Grade,4,4,NA
Simulated,14,AK,Student,8th/9th Grade,5,4,NA
Simulated,14,AK,Student,College Level,5,4,NA
Simulated,15,AK,Student,5th Grade,5,2,NA
Simulated,15,AK,Student,8th/9th Grade,5,4,NA
Simulated,15,AK,Student,College Level,5,2,NA
Simulated,16,AK,Student,5th Grade,2,2,NA
Simulated,16,AK,Student,8th/9th Grade,2,2,NA
Simulated,16,AK,Student,College Level,1,2,NA
Simulated,17,AK,Student,5th Grade,5,4,NA
Simulated,17,AK,Student,8th/9th Grade,2,2,NA
Simulated,17,AK,Student,College Level,5,5,NA
Simulated,18,AK,Student,5th Grade,2,4,NA
Simulated,18,AK,Student,8th/9th Grade,5,4,NA
Simulated,18,AK,Student,College Level,1,4,NA
Simulated,19,AK,Student,5th Grade,5,5,NA
Simulated,19,AK,Student,8th/9th Grade,5,5,NA
Simulated,19,AK,Student,College Level,5,5,NA
Simulated,20,AK,Student,5th Grade,4,2,NA
Simulated,20,AK,Student,8th/9th Grade,5,2,NA
Simulated,20,AK,Student,College Level,5,2,NA
Simulated,21,AK,Student,5th Grade,5,4,NA
Simulated,21,AK,Student,8th/9th Grade,5,4,NA
Simulated,21,AK,Student,College Level,5,4,NA
Simulated,22,AK,Student,5th Grade,5,2,NA
Simulated,22,AK,Student,8th/9th Grade,1,2,NA
Simulated,22,AK,Student,College Level,5,2,NA
Simulated,23,AK,Student,5th Grade,5,4,NA
Simulated,23,AK,Student,8th/9th Grade,5,5,NA
Simulated,23,AK,Student,College Level,5,5,NA
Simulated,24,AK,Student,5th Grade,5,5,NA
Simulated,24,AK,Student,8th/9th Grade,4,4,NA
Simulated,24,AK,Student,College Level,5,4,NA
Simulated,25,AK,Student,5th Grade,2,4,NA
Simulated,25,AK,Student,8th/9th Grade,3,4,NA
Simulated,25,AK,Student,College Level,4,2,NA
Simulated,26,AK,Student,5th Grade,5,5,NA
Simulated,26,AK,Student,8th/9th Grade,5,5,NA
Simulated,26,AK,Student,College Level,5,5,NA
Simulated,27,AK,Student,5th Grade,5,2,NA
Simulated,27,AK,Student,8th/9th Grade,5,2,NA
Simulated,27,AK,Student,College Level,5,4,NA
Simulated,28,AK,Student,5th Grade,5,2,NA
Simulated,28,AK,Student,8th/9th Grade,4,4,NA
Simulated,28,AK,Student,College Level,5,4,NA
Simulated,29,AK,Student,5th Grade,5,5,NA
Simulated,29,AK,Student,8th/9th Grade,4,4,NA
Simulated,29,AK,Student,College Level,5,5,NA
Simulated,30,AK,Student,5th Grade,5,4,NA
Simulated,30,AK,Student,8th/9th Grade,5,4,NA
Simulated,30,AK,Student,College Level,5,4,NA
Simulated,31,AK,Student,5th Grade,5,4,NA
Simulated,31,AK,Student,8th/9th Grade,5,4,NA
Simulated,31,AK,Student,College Level,5,4,NA
Simulated,32,AK,Student,5th Grade,5,4,NA
Simulated,32,AK,Student,8th/9th Grade,5,5,NA
Simulated,32,AK,Student,College Level,5,5,NA
Simulated,33,AK,Student,5th Grade,5,4,NA
Simulated,33,AK,Student,8th/9th Grade,5,4,NA
Simulated,33,AK,Student,College Level,5,4,NA
Simulated,34,AK,Student,5th Grade,4,2,NA
Simulated,34,AK,Student,8th/9th Grade,5,5,NA
Simulated,34,AK,Student,College Level,4,2,NA
Simulated,35,AK,Student,5th Grade,5,5,NA
Simulated,35,AK,Student,8th/9th Grade,5,5,NA
Simulated,35,AK,Student,College Level,5,5,NA
Simulated,1,MSA,Student,5th Grade,4,4,NA
Simulated,1,MSA,Student,8th/9th Grade,5,5,NA
Simulated,1,MSA,Student,College Level,4,3,NA
Simulated,2,MSA,Student,5th Grade,5,4,NA
Simulated,2,MSA,Student,8th/9th Grade,5,4,NA
Simulated,2,MSA,Student,College Level,5,4,NA
Simulated,3,MSA,Student,5th Grade,5,4,NA
Simulated,3,MSA,Student,8th/9th Grade,5,4,NA
Simulated,3,MSA,Student,College Level,5,4,NA
Simulated,4,MSA,Student,5th Grade,2,2,NA
Simulated,4,MSA,Student,8th/9th Grade,2,2,NA
Simulated,4,MSA,Student,College Level,2,2,NA
Simulated,5,MSA,Student,5th Grade,3,2,NA
Simulated,5,MSA,Student,8th/9th Grade,5,4,NA
Simulated,5,MSA,Student,College Level,4,3,NA
Simulated,6,MSA,Student,5th Grade,5,5,NA
Simulated,6,MSA,Student,8th/9th Grade,5,5,NA
Simulated,6,MSA,Student,College Level,5,5,NA
Simulated,7,MSA,Student,5th Grade,4,5,NA
Simulated,7,MSA,Student,8th/9th Grade,5,5,NA
Simulated,7,MSA,Student,College Level,4,5,NA
Simulated,8,MSA,Student,5th Grade,5,5,NA
Simulated,8,MSA,Student,8th/9th Grade,5,5,NA
Simulated,8,MSA,Student,College Level,4,5,NA
Simulated,9,MSA,Student,5th Grade,4,4,NA
Simulated,9,MSA,Student,8th/9th Grade,5,4,NA
Simulated,9,MSA,Student,College Level,5,4,NA
Simulated,10,MSA,Student,5th Grade,4,4,NA
Simulated,10,MSA,Student,8th/9th Grade,5,4,NA
Simulated,10,MSA,Student,College Level,5,4,NA
Simulated,11,MSA,Student,5th Grade,5,5,NA
Simulated,11,MSA,Student,8th/9th Grade,5,5,NA
Simulated,11,MSA,Student,College Level,5,5,NA
Simulated,12,MSA,Student,5th Grade,5,4,NA
Simulated,12,MSA,Student,8th/9th Grade,5,4,NA
Simulated,12,MSA,Student,College Level,5,4,NA
Simulated,13,MSA,Student,5th Grade,4,4,NA
Simulated,13,MSA,Student,8th/9th Grade,4,4,NA
Simulated,13,MSA,Student,College Level,4,4,NA
Simulated,14,MSA,Student,5th Grade,2,2,NA
Simulated,14,MSA,Student,8th/9th Grade,2,2,NA
Simulated,14,MSA,Student,College Level,2,2,NA
Simulated,15,MSA,Student,5th Grade,3,2,NA
Simulated,15,MSA,Student,8th/9th Grade,3,2,NA
Simulated,15,MSA,Student,College Level,2,1,NA
Simulated,16,MSA,Student,5th Grade,1,1,NA
Simulated,16,MSA,Student,8th/9th Grade,1,1,NA
Simulated,16,MSA,Student,College Level,1,1,NA
Simulated,17,MSA,Student,5th Grade,4,5,NA
Simulated,17,MSA,Student,8th/9th Grade,4,4,NA
Simulated,17,MSA,Student,College Level,5,5,NA
Simulated,18,MSA,Student,5th Grade,3,2,NA
Simulated,18,MSA,Student,8th/9th Grade,3,2,NA
Simulated,18,MSA,Student,College Level,2,2,NA
Simulated,19,MSA,Student,5th Grade,5,5,NA
Simulated,19,MSA,Student,8th/9th Grade,4,5,NA
Simulated,19,MSA,Student,College Level,5,5,NA
Simulated,20,MSA,Student,5th Grade,5,4,NA
Simulated,20,MSA,Student,8th/9th Grade,5,4,NA
Simulated,20,MSA,Student,College Level,5,4,NA
Simulated,21,MSA,Student,5th Grade,5,4,NA
Simulated,21,MSA,Student,8th/9th Grade,5,4,NA
Simulated,21,MSA,Student,College Level,5,4,NA
Simulated,22,MSA,Student,5th Grade,4,3,NA
Simulated,22,MSA,Student,8th/9th Grade,4,3,NA
Simulated,22,MSA,Student,College Level,4,3,NA
Simulated,23,MSA,Student,5th Grade,2,3,NA
Simulated,23,MSA,Student,8th/9th Grade,1,3,NA
Simulated,23,MSA,Student,College Level,1,3,NA
Simulated,24,MSA,Student,5th Grade,5,5,NA
Simulated,24,MSA,Student,8th/9th Grade,4,5,NA
Simulated,24,MSA,Student,College Level,4,5,NA
Simulated,25,MSA,Student,5th Grade,4,5,NA
Simulated,25,MSA,Student,8th/9th Grade,5,5,NA
Simulated,25,MSA,Student,College Level,3,2,NA
Simulated,26,MSA,Student,5th Grade,5,4,NA
Simulated,26,MSA,Student,8th/9th Grade,5,4,NA
Simulated,26,MSA,Student,College Level,5,4,NA
Simulated,27,MSA,Student,5th Grade,4,3,NA
Simulated,27,MSA,Student,8th/9th Grade,4,3,NA
Simulated,27,MSA,Student,College Level,5,3,NA
Simulated,28,MSA,Student,5th Grade,5,4,NA
Simulated,28,MSA,Student,8th/9th Grade,4,2,NA
Simulated,28,MSA,Student,College Level,4,2,NA
Simulated,29,MSA,Student,5th Grade,5,5,NA
Simulated,29,MSA,Student,8th/9th Grade,4,5,NA
Simulated,29,MSA,Student,College Level,5,5,NA
Simulated,30,MSA,Student,5th Grade,5,5,NA
Simulated,30,MSA,Student,8th/9th Grade,5,5,NA
Simulated,30,MSA,Student,College Level,5,5,NA
Simulated,31,MSA,Student,5th Grade,5,4,NA
Simulated,31,MSA,Student,8th/9th Grade,5,4,NA
