Research ID #,Family,Intimacy,Parenting,Social,Work,Education,Recreation,Spiritual,Community,Self-Care,Living Family,Living Intimacy,Living Parenting,Living Social,Living Work,Living Education,Living Recreation,Living Spiritual,Living Community,Living Self-Care,QoL,Pain Free,No Limitations,Independence,Mentally Alert,Leaving Money,Avoiding Treatment,Relating w. Family,Leaving Memories,Quick Death,Living Long,Natural Course,Spirituality,Medical Research,Type of Surrogate,EoL Discussion,Gender,Age,Race,Which of the following best describes you? - Other (specify) - Text,Ethnicity,Marital Status,Length of Marriage,Education,Income,Response to Scenario,Random Scenario 1,Scenario 1,Random Scenario 2,Scenario 2,Random Scenario 2,Scenario 3
P011,10,10,10,7,7,8,8,10,8,8,10,8,8,7,8,9,7,9,7,8,4,3,3,2,4,4,2,3,3,2,1,2,4,4,Spouse,Yes,Male,65 - 74,White,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"$45,001 to 60,000",I am answering on my own behalf,2.4,"If necessary, do not perform CPR [DNR order] if it does not improve a chance at full or partial recovery.",4.31,"If necessary, do not perform CPR if it does not improve a chance at full or partial recovery.",6.8,Kept comfortable and pain free while nature takes its course.
P012,9,5,7,7,7,9,5,9,7,7,8,3,7,5,7,9,7,9,7,7,3,4,4,4,3,4,2,3,3,3,2,3,4,3,Sibling,I do not remember,Male,55 - 64,White,,No,Never Married,,Graduated 2-year Associate Degree,"$15,000 to 30,000",I am answering on my own behalf,1.2,Everything to be done even if it looks like there is no chance at full or partial recovery.,3.5,Kept comfortable and pain free while nature takes its course.,4.31,Kept comfortable and pain free while nature takes its course.
P013,10,10,10,8,10,8,10,10,10,10,6,8,10,8,10,7,8,10,9,9,4,4,4,4,4,4,2,3,4,4,2,3,4,3,Parent,No,Female,18 - 24,Black or African American,,No,Never Married,,GED or High School Graduate,Prefer not to answer,I am answering on my own behalf,1.2,Kept comfortable and pain free while nature takes its course.,4.31,Kept comfortable and pain free while nature takes its course.,7.24,Kept comfortable and pain free while nature takes its course.
P014,10,10,10,8,7,7,8,10,10,8,10,9,5,10,7,8,8,10,10,8,4,3,3,3,4,3,2,4,2,2,2,4,4,3,Parent,No,Male,18 - 24,Black or African American,,No,Never Married,,"Some College, Vocational or Technical Training","less than $15,000",I am answering on my own behalf,6.8,Do not use ventilator (breathing machine) if it does not allow you to breathe without it for full or partial recovery.,3.5,Kept comfortable and pain free while nature takes its course.,2.4,Kept comfortable and pain free while nature takes its course.
P015,8,9,9,9,8,10,10,10,10,10,6,7,2,8,6,7,8,9,9,6,4,4,4,4,4,4,1,4,4,4,3,4,4,3,Parent,No,Female,18 - 24,Black or African American,,No,Never Married,,"Some College, Vocational or Technical Training","less than $15,000",I am answering on my own behalf,2.4,Everything to be done even if it looks like there is no chance at full or partial recovery.,5.7,Kept comfortable and pain free while nature takes its course.,7.24,Everything to be done even if there is no chance at full or partial recovery.
S001,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,0,4,4,4,4,Spouse,Yes,Male,55 - 64,Black or African American,,No,Married,11 to  15 years,Below GED or below High School Graduate,"$15,000 to 30,000",I am answering as a surrogate or proxy,2.4,Surrogate to make this decision on his or her own.,3.5,Surrogate to make decisions on his or her own.,6.8,Surrogate to make decisions on his or her own.
S002,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,4,4,4,4,4,4,4,4,4,3,4,4,4,4,Spouse,Yes,Female,25 - 34,Black or African American,,No,Married,Less than 5 years,"Some College, Vocational or Technical Training","greater than $60,000",I am answering as a surrogate or proxy,3.5,Everything to be done even if it looks like there is no chance at full or partial recovery.,5.7,Everything to be done even if there is no chance at full or partial recovery.,7.24,Kept comfortable and pain free while nature takes its course.
S003,10,10,10,8,10,10,10,10,9,10,8,7,8,6,10,7,7,10,6,10,4,3,2,4,4,2,1,3,4,3,4,2,4,3,Spouse,No,Female,45 - 54,Black or African American,,Yes,Married,5 to 10 years,"Some College, Vocational or Technical Training","greater than $60,000",I am answering as a surrogate or proxy,2.4,Kept comfortable and pain free while nature takes its course.,5.7,Kept comfortable and pain free while nature takes its course.,8.36,Everything to be done even if there is no chance at full or partial recovery.
S004,10,10,10,8,9,9,8,9,8,10,8,10,9,8,8,8,7,9,7,8,4,4,3,4,4,3,2,4,3,3,4,3,4,3,Spouse,Yes,Male,65 - 74,White,,No,Married,Less than 5 years,Graduated 4-year Bachelor Degree,"$45,001 to 60,000",I am answering as a surrogate or proxy,2.4,Kept comfortable and pain free while nature takes its course.,4.31,Kept comfortable and pain free while nature takes its course.,7.24,Kept comfortable and pain free while nature takes its course.
S005,10,9,10,10,7,7,8,10,8,10,8,7,7,8,6,6,6,8,6,8,3,4,4,4,4,4,4,3,4,3,4,2,4,3,Spouse,Yes,Male,45 - 54,Other (specify),Italian,No,Married,16 to 20 years,Graduated 2-year Associate Degree,"$45,001 to 60,000",I am answering as a surrogate or proxy,2.4,"If necessary, do not perform CPR [DNR order] if it does not improve a chance at full or partial recovery.",4.31,"If necessary, do not perform CPR if it does not improve a chance at full or partial recovery.",7.24,Kept comfortable and pain free while nature takes its course.
S006,8,7,9,5,8,8,7,9,7,6,7,8,5,7,7,8,7,8,7,7,3,2,4,4,4,3,3,4,2,3,2,4,4,1,Spouse,No,Male,65 - 74,White,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"greater than $60,000",I am answering as a surrogate or proxy,2.4,Kept comfortable and pain free while nature takes its course.,3.5,Kept comfortable and pain free while nature takes its course.,7.24,Kept comfortable and pain free while nature takes its course.
S007,10,10,10,5,8,10,9,10,10,10,10,9,9,9,8,9,9,9,10,9,4,3,4,3,4,4,3,4,4,2,4,4,4,3,Son or Daughter,No,Female,65 - 74,Black or African American,,No,Married,16 to 20 years,Graduated 4-year Bachelor Degree,"greater than $60,000",I am answering as a surrogate or proxy,2.4,Surrogate to make this decision on his or her own.,3.5,Surrogate to make decisions on his or her own.,7.24,Surrogate to make decisions on his or her own.
S008,10,8,10,6,10,10,10,10,10,10,7,8,9,7,10,8,7,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Son or Daughter,No,Male,65 - 74,Black or African American,,No,Married,More than 20 years,Graduated 2-year Associate Degree,"$30,001 to 45,000",I am answering as a surrogate or proxy,3.5,Everything to be done even if it looks like there is no chance at full or partial recovery.,6.8,Kept comfortable and pain free while nature takes its course.,8.36,Everything to be done even if there is no chance at full or partial recovery.
S009,10,10,10,10,10,8,10,10,10,10,9,8,9,9,7,9,9,9,9,9,3,3,3,3,3,3,4,4,4,3,2,4,3,2,Spouse,No,Female,65 - 74,Black or African American,,No,Married,More than 20 years,Graduated 2-year Associate Degree,"$45,001 to 60,000",I am answering as a surrogate or proxy,3.5,"If necessary, do not perform CPR [DNR order] if it does not improve a chance at full or partial recovery.",6.8,"If necessary, do not perform CPR if it does not improve a chance at full or partial recovery.",8.36,"If necessary, do not perform CPR if it does not improve a chance at full or partial recovery."
S010,10,10,10,7,7,8,7,10,8,7,9,8,8,6,6,7,6,8,6,6,3,3,4,3,4,3,4,4,4,4,3,3,4,3,Son or Daughter,No,Male,55 - 64,White,,Yes,Married,More than 20 years,Graduate or Professional Degree,"$45,001 to 60,000",I am answering as a surrogate or proxy,1.2,Kept comfortable and pain free while nature takes its course.,3.5,Kept comfortable and pain free while nature takes its course.,8.36,Everything to be done even if there is no chance at full or partial recovery.
S011,10,10,10,8,10,7,8,10,10,8,9,7,8,7,8,6,6,9,8,6,3,3,3,3,3,3,4,4,3,4,3,3,4,3,Spouse,Yes,Female,65 - 74,White,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"$45,001 to 60,000",I am answering as a surrogate or proxy,2.4,Kept comfortable and pain free while nature takes its course.,4.31,Do not use ventilator (breathing machine) if it does not allow you to breathe without it for full or partial recovery.,6.8,Do not use ventilator (breathing machine) if it does not allow you to breathe without it for full or partial recovery.
S012,8,9,10,6,7,7,8,8,9,7,8,9,9,10,9,9,9,9,9,9,4,3,3,3,4,2,4,4,2,3,3,3,4,2,Spouse,Yes,Female,55 - 64,White,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"greater than $60,000",I am answering as a surrogate or proxy,1.2,Everything to be done even if it looks like there is no chance at full or partial recovery.,3.5,Kept comfortable and pain free while nature takes its course.,4.31,Kept comfortable and pain free while nature takes its course.
S013,10,10,10,8,5,10,10,10,10,10,8,5,7,4,6,10,5,6,4,7,4,4,4,4,4,2,2,1,3,4,4,4,4,4,Son or Daughter,Yes,Female,35 - 44,Other (specify),Brown American,No,Divorced,,GED or High School Graduate,"$15,000 to 30,000",I am answering as a surrogate or proxy,1.2,Kept comfortable and pain free while nature takes its course.,4.31,Kept comfortable and pain free while nature takes its course.,7.24,Everything to be done even if there is no chance at full or partial recovery.
S014,10,10,10,8,7,8,7,10,8,8,8,7,8,7,8,8,7,8,8,7,4,3,3,4,4,3,3,4,3,3,3,4,4,3,Spouse,No,Male,45 - 54,Black or African American,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"greater than $60,000",I am answering as a surrogate or proxy,6.8,Everything to be done even if it looks like there is no chance at full or partial recovery.,3.5,Everything to be done even if there is no chance at full or partial recovery.,2.4,Everything to be done even if there is no chance at full or partial recovery.
S015,10,10,10,10,10,10,10,10,10,10,9,8,7,6,10,10,10,10,8,9,4,4,4,4,4,3,3,4,4,4,4,3,4,3,Spouse,No,Female,45 - 54,Black or African American,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"greater than $60,000",I am answering as a surrogate or proxy,2.4,Kept comfortable and pain free while nature takes its course.,5.7,Kept comfortable and pain free while nature takes its course.,7.24,Kept comfortable and pain free while nature takes its course.
